Name,diameter,H,albedo,date_closest,closest distance
  1566 Icarus (1949 MA),1.0,16.35,0.51,2024-06-09 00:00:00,30767248.349636238
  1620 Geographos (1951 RA),2.56,15.30,0.290,2026-08-12 00:00:00,25497887.1002789
  1862 Apollo (1932 HA),1.5,16.12,0.25,2023-05-30 00:00:00,31839090.381707836
  1981 Midas (1973 EA),3.4,15.22,,2025-06-17 00:00:00,100208544.70010312
  2101 Adonis (1936 CA),0.6,18.64,,2025-08-20 00:00:00,61621337.767574996
  2102 Tantalus (1975 YA),1.649,16.00,0.245,2023-06-19 00:00:00,107047861.69957209
  2201 Oljato (1947 XC),1.80,15.25,0.4328,2028-04-13 00:00:00,50288941.56099051
  2340 Hathor (1976 UA),0.3,20.33,,2026-01-17 00:00:00,15629031.051688194
  3122 Florence (1981 ET3),4.9,14.04,0.231,2024-10-01 00:00:00,57099855.59440713
  3200 Phaethon (1983 TB),6.25,14.34,0.1066,2027-12-23 00:00:00,39727942.00171128
  3361 Orpheus (1982 HR),0.3,19.27,0.357,2025-11-19 00:00:00,5673584.609154979
  3362 Khufu (1984 QA),0.7,18.30,0.21,2029-10-23 00:00:00,196442894.39598447
  3671 Dionysus (1984 KD),1.5,16.49,0.16,2023-09-03 00:00:00,72262498.09353092
  3757 Anagolay (1982 XB),0.5,18.90,0.18,2023-04-17 00:00:00,154223763.56280434
  4015 Wilson-Harrington (1979 VA),4,16.02,0.05,2023-01-01 00:00:00,130208276.55249608
  4034 Vishnu (1986 PA),0.42,18.41,0.52,2025-04-01 00:00:00,23454240.473243605
  4179 Toutatis (1989 AC),5.4,15.24,0.405,2025-02-04 00:00:00,145408441.17282167
  4183 Cuno (1959 LM),3.651,14.13,0.097,2026-04-05 00:00:00,41132708.142960414
  4486 Mithra (1987 SB),1.849,15.53,0.297,2023-04-12 00:00:00,24336951.64311505
  4660 Nereus (1982 DB),0.33,18.62,0.55,2024-06-03 00:00:00,127110579.75924367
  4769 Castalia (1989 PB),1.4,17.48,0.092,2023-08-22 00:00:00,16470660.36536226
  5604 (1992 FE),0.55,17.27,0.48,2027-06-07 00:00:00,32686698.350549188
  6489 Golevka (1991 JX),0.53,19.20,0.151,2023-02-07 00:00:00,258460188.02225527
  7335 (1989 JA),1.8,17.53,0.448,2029-09-13 00:00:00,40340963.77571637
  7341 (1991 VK),0.982,16.91,0.235,2027-01-22 00:00:00,10192902.746056978
  7482 (1994 PC1),1.052,16.58,0.277,2025-06-28 00:00:00,97077346.82621442
  7822 (1991 CS),1.602,17.33,0.075,2027-08-15 00:00:00,67363809.41363296
  8014 (1990 MF),0.7,18.95,,2027-06-08 00:00:00,53986655.81108038
  8566 (1996 EN),1.568,16.39,0.217,2024-03-08 00:00:00,139077715.03858253
  9856 (1991 EE),1.0,16.96,0.3,2028-09-10 00:00:00,14467884.82060805
 10115 (1992 SK),0.938,17.08,0.318,2024-08-26 00:00:00,34267270.37990632
 11500 Tomaiyowit (1989 UR),0.738,18.32,0.142,2028-06-12 00:00:00,13290155.020835139
 12538 (1998 OH),1.663,15.92,0.232,2023-01-01 00:00:00,104769922.86957112
 12923 Zephyr (1999 GK4),2.060,15.77,0.199,2024-04-29 00:00:00,165275006.11716872
 13651 (1997 BR),0.562,17.81,0.511,2028-03-03 00:00:00,93934608.17434804
 14827 Hypnos (1986 JK),0.9,18.30,,2024-06-03 00:00:00,11736696.908023624
 25143 Itokawa (1998 SF36),0.33,19.00,,2027-10-04 00:00:00,89568542.26439603
 29075 (1950 DA),2.000,17.22,0.070,2023-07-23 00:00:00,42399022.55602818
 33342 (1998 WT24),0.432,17.85,0.654,2029-11-26 00:00:00,7415730.269486347
 35107 (1991 VH),0.929,16.76,0.408,2025-08-02 00:00:00,11689757.056494748
 35396 (1997 XF11),0.704,16.91,0.772,2028-10-26 00:00:00,988353.8952585271
 39572 (1993 DQ1),1.554,16.47,0.184,2028-03-07 00:00:00,234396506.3517898
 41429 (2000 GE2),0.204,20.38,0.267,2028-08-28 00:00:00,34481677.31994976
 52760 (1998 ML14),1.0,17.48,,2028-07-23 00:00:00,23491688.560911488
 52768 (1998 OR2),1.75,16.00,,2024-08-07 00:00:00,232868292.20115608
 53319 (1999 JM8),7.,15.25,,2026-05-10 00:00:00,101189515.74318893
 53789 (2000 ED104),0.843,17.33,0.222,2026-10-22 00:00:00,85695752.75921929
 65679 (1989 UQ),0.918,19.46,0.033,2024-10-16 00:00:00,23326406.704455297
 65803 Didymos (1996 GT),0.78,18.07,,2023-01-01 00:00:00,39409472.03700156
 66391 Moshup (1999 KW4),1.317,16.59,,2023-06-13 00:00:00,85694209.48316984
 68216 (2001 CV26),0.994,16.52,0.449,2025-03-05 00:00:00,100127769.19011821
 68346 (2001 KZ66),0.736,16.80,0.291,2027-11-29 00:00:00,45719983.31644961
 68548 (2001 XR31),1.182,16.61,0.289,2023-08-06 00:00:00,18113627.98888149
 68950 (2002 QF15),1.650,16.36,0.178,2028-10-31 00:00:00,28858404.22797121
 85182 (1991 AQ),1.1,17.07,0.242,2024-03-04 00:00:00,55276032.968758374
 85713 (1998 SS49),3.484,15.64,0.076,2023-01-01 00:00:00,79435439.85557494
 85774 (1998 UT18),0.939,19.07,0.042,2023-11-13 00:00:00,52075463.08129988
 85989 (1999 JD6),1.462,17.06,0.056,2025-07-16 00:00:00,36427804.302621625
 85990 (1999 JV6),0.451,20.16,0.095,2023-01-26 00:00:00,76939310.99688761
 86039 (1999 NC43),2.22,15.96,0.14,2028-03-05 00:00:00,55947954.58585181
 86819 (2000 GK137),0.802,17.37,0.301,2028-11-03 00:00:00,141678197.79140654
 88254 (2001 FM129),0.800,17.71,0.252,2028-03-13 00:00:00,12654552.766772235
 89830 (2002 CE),5.067,14.98,0.079,2025-09-10 00:00:00,105329272.63646072
 89959 (2002 NT7),1.407,16.44,0.224,2028-02-24 00:00:00,72603614.00111699
 90075 (2002 VU94),2.233,15.37,0.294,2023-10-06 00:00:00,181212553.75451475
 90403 (2003 YE45),0.572,17.74,0.493,2030-01-01 00:00:00,61559249.22270481
 90416 (2003 YK118),0.968,18.60,0.062,2026-04-20 00:00:00,26906818.48641073
 99248 (2001 KY66),1.115,16.53,0.429,2024-11-24 00:00:00,78582113.73741663
 99942 Apophis (2004 MN4),0.34,19.09,0.35,2029-04-14 00:00:00,65153.7516209723
101955 Bennu (1999 RQ36),0.482,20.21,0.044,2024-06-02 00:00:00,53827391.65199918
103067 (1999 XA143),1.282,16.80,0.246,2025-02-03 00:00:00,48050193.68916286
111253 (2001 XU10),3.006,15.20,0.178,2026-09-09 00:00:00,100470849.3410186
138127 (2000 EE14),0.754,17.03,0.449,2028-03-07 00:00:00,25584136.759384375
140158 (2001 SX169),0.566,18.45,0.289,2028-12-08 00:00:00,37170672.17729903
140288 (2001 SN289),1.263,16.72,0.231,2027-03-12 00:00:00,19037491.33473254
141432 (2002 CQ11),0.239,20.00,0.340,2030-01-01 00:00:00,101072723.91774286
143624 (2003 HM16),2.137,15.89,0.169,2028-03-17 00:00:00,45839478.12706346
152671 (1998 HL3),0.298,20.10,0.200,2028-06-28 00:00:00,26232087.99017034
152754 (1999 GS6),0.414,19.22,0.216,2025-03-26 00:00:00,18288849.95995243
152978 (2000 GJ147),0.531,19.54,0.109,2025-11-07 00:00:00,31419023.954550326
153201 (2000 WO107),0.510,19.27,0.129,2024-02-10 00:00:00,35333296.53808221
153591 (2001 SN263),2,16.97,,2025-05-21 00:00:00,150099033.40658867
153814 (2001 WN5),0.932,18.32,0.097,2028-06-26 00:00:00,317345.0677394485
154276 (2002 SY50),1.060,17.56,0.143,2025-05-16 00:00:00,10550312.527543569
159857 (2004 LJ1),3.070,15.51,0.130,2028-06-24 00:00:00,151334901.80124795
161989 Cacus (1978 CA),1.9,17.15,0.09,2028-03-07 00:00:00,22090955.928210273
162000 (1990 OS),0.4,19.40,,2027-07-30 00:00:00,19295506.016873565
162116 (1998 SA15),0.538,19.20,0.116,2028-03-24 00:00:00,114990146.3079272
162510 (2000 QW69),1.406,17.51,0.089,2029-02-23 00:00:00,41158867.83931845
162567 (2000 RW37),0.335,19.76,0.173,2025-08-13 00:00:00,75699602.0441716
162998 (2001 SK162),0.875,17.89,0.161,2026-03-12 00:00:00,76471702.31914243
163132 (2002 CU11),0.460,18.42,0.408,2029-02-19 00:00:00,89427677.70727456
163243 (2002 FB3),1.682,16.52,0.172,2024-02-19 00:00:00,46992358.46813338
163348 (2002 NN4),0.735,20.08,0.030,2029-06-07 00:00:00,8805473.162798364
163818 (2003 RX7),0.386,18.47,0.516,2029-11-03 00:00:00,31165556.002057396
163899 (2003 SD220),0.791,17.59,0.340,2024-12-03 00:00:00,13216834.37263636
164121 (2003 YT1),1.717,16.21,0.198,2023-11-04 00:00:00,8931408.048191892
164207 (2004 GU9),0.163,21.16,0.219,2029-10-18 00:00:00,26014609.17007954
168318 (1989 DA),0.9,18.90,,2024-01-08 00:00:00,17607734.98511069
175706 (1996 FG3),1.196,18.32,0.072,2024-11-26 00:00:00,26931187.19059108
185851 (2000 DP107),0.863,18.21,0.137,2024-07-04 00:00:00,31976225.15030246
187040 (2005 JS108),0.430,19.15,0.199,2024-07-15 00:00:00,12977288.459073842
194268 (2001 UY4),1.244,18.20,0.055,2029-10-23 00:00:00,16065797.479952132
206378 (2003 RB),0.376,18.69,0.414,2027-07-30 00:00:00,45104324.52518726
207945 (1991 JW),0.423,19.30,0.161,2027-05-20 00:00:00,14955117.368103888
215588 (2003 HF2),0.488,19.38,0.118,2027-07-17 00:00:00,8059244.80049469
217628 Lugh (1990 HA),1.4,16.62,,2026-11-28 00:00:00,10587956.026663348
221980 (1996 EO),0.432,19.00,0.200,2023-10-03 00:00:00,28085287.476336595
226554 (2003 WR21),0.482,19.50,0.125,2023-01-10 00:00:00,10856218.934755186
230549 (2003 BH),0.217,20.50,0.216,2024-02-13 00:00:00,70038079.60522464
231937 (2001 FO32),0.55,17.58,,2025-10-29 00:00:00,75666339.01608193
234145 (2000 EW70),0.344,21.39,0.045,2027-11-21 00:00:00,14922066.835827105
235756 (2004 VC),1.136,18.65,0.042,2027-10-03 00:00:00,25053599.998064034
242450 (2004 QY2),2.914,14.83,0.274,2029-07-16 00:00:00,7067481.488241011
242643 (2005 NZ6),1.989,17.38,0.041,2023-04-15 00:00:00,46626671.80208971
243566 (1995 SA),0.881,17.35,0.091,2029-10-24 00:00:00,269341527.9325916
244977 (2004 BE68),0.495,18.41,0.235,2024-12-11 00:00:00,52022346.06114695
250620 (2005 GE59),0.654,18.03,0.260,2023-03-23 00:00:00,126532882.45340665
250680 (2005 QC5),0.398,19.63,0.147,2027-10-27 00:00:00,7273007.47970018
250706 (2005 RR6),0.535,18.49,0.322,2026-04-20 00:00:00,199670539.13284057
252399 (2001 TX44),0.291,19.43,0.478,2028-11-14 00:00:00,36877989.453712896
263976 (2009 KD5),0.785,18.40,0.125,2025-07-13 00:00:00,20938534.068566658
264357 (2000 AZ93),0.113,21.07,0.037,2028-12-16 00:00:00,37700613.699047096
265196 (2004 BW58),0.361,18.77,0.310,2025-01-23 00:00:00,10774946.695667654
267221 (2001 AD2),0.562,19.73,0.097,2029-04-05 00:00:00,4676809.451084825
267337 (2001 VK5),0.439,18.03,0.578,2024-06-02 00:00:00,45585557.64741529
269690 (1996 RG3),0.888,18.40,0.098,2028-03-27 00:00:00,62625696.651430756
277570 (2005 YP180),0.439,19.20,0.177,2023-06-06 00:00:00,69335817.70274024
294739 (2008 CM),0.740,17.09,0.425,2023-07-23 00:00:00,128595341.21363641
297274 (1996 SK),1.199,16.80,0.234,2027-06-30 00:00:00,171361114.56684667
297300 (1998 SC15),0.320,19.34,,2029-05-02 00:00:00,69910628.01228565
297418 (2000 SP43),0.407,18.60,0.388,2025-12-09 00:00:00,27900102.66531732
301844 (1990 UA),0.4,19.60,,2028-05-11 00:00:00,13998767.863666676
303450 (2005 BY2),0.187,20.44,0.317,2025-03-19 00:00:00,25587193.509698812
304330 (2006 SX217),0.780,18.95,0.080,2024-05-29 00:00:00,55031585.122853756
307493 (2002 XP90),1.666,18.57,0.023,2023-11-02 00:00:00,45199559.06279126
308635 (2005 YU55),0.4,21.65,,2026-09-07 00:00:00,46962796.6665466
310560 (2001 QL142),0.654,17.70,0.313,2027-02-06 00:00:00,36638186.65184631
312070 (2007 TA19),0.595,19.44,0.087,2026-01-29 00:00:00,47644451.7760701
333578 (2006 KM103),0.204,20.13,0.352,2023-01-16 00:00:00,109175172.34220614
341843 (2008 EV5),0.40,20.00,0.137,2023-12-20 00:00:00,6322788.965615677
349068 (2006 YT13),0.496,18.30,0.343,2025-08-01 00:00:00,34700524.21628859
357022 (1999 YG3),0.432,19.05,0.217,2029-07-12 00:00:00,61906551.13242675
357024 (1999 YR14),0.255,19.45,0.430,2028-03-11 00:00:00,186962306.07449213
360191 (1988 TA),0.4,20.60,,2028-11-19 00:00:00,144429234.95186517
363024 (1998 OK1),0.558,19.42,0.099,2028-08-18 00:00:00,38310290.98036354
363027 (1998 ST27),0.578,19.64,0.059,2024-10-12 00:00:00,3562866.7765876
363505 (2003 UC20),1.876,18.33,0.029,2023-11-03 00:00:00,5257679.876211727
363599 (2004 FG11),0.152,21.03,0.306,2024-04-11 00:00:00,7840048.406051224
363831 (2005 PY16),0.371,19.22,0.268,2027-11-29 00:00:00,85234874.19366534
365071 (2009 AV),0.674,18.10,0.246,2029-07-17 00:00:00,191491816.18267202
365424 (2010 KX7),0.212,21.90,0.075,2023-09-25 00:00:00,83237616.96990262
366774 (2004 TB18),0.859,17.64,0.199,2027-03-26 00:00:00,67496369.84929335
367248 (2007 MK13),0.386,20.00,0.119,2029-04-22 00:00:00,188317877.5930225
369264 (2009 MS),1.515,16.37,0.232,2028-06-20 00:00:00,221636360.80108902
371660 (2007 CN26),0.230,21.00,0.160,2029-02-01 00:00:00,96537070.3757403
373135 (2011 SD173),1.050,19.50,0.025,2028-03-14 00:00:00,73046905.02426413
377732 (2005 XJ8),0.986,17.04,0.288,2029-12-20 00:00:00,163508947.4727409
381906 (2010 CL19),0.520,17.84,0.451,2023-03-29 00:00:00,106932301.06005852
385186 (1994 AW1),0.811,17.56,0.223,2030-01-01 00:00:00,29393310.815942205
385343 (2002 LV),1.359,16.58,0.334,2023-12-01 00:00:00,95331141.87059516
386454 (2008 XM),0.367,20.00,0.128,2027-11-11 00:00:00,56131984.5891262
386847 (2010 LR33),0.663,18.09,0.211,2023-11-11 00:00:00,92631287.04464433
387505 (1998 KN3),1.060,18.43,0.074,2023-05-18 00:00:00,40231014.60190585
387746 (2003 MH4),0.366,20.00,0.132,2025-05-24 00:00:00,6684270.050727426
389694 (2011 QD48),0.451,18.10,0.456,2028-07-21 00:00:00,201673525.52015886
390725 (2003 HB),0.293,19.69,0.271,2025-05-26 00:00:00,7043584.870126622
391211 (2006 HZ51),0.412,18.53,0.415,2027-06-30 00:00:00,12328092.011899669
395207 (2010 HQ80),0.724,19.66,0.022,2024-03-31 00:00:00,83836391.77155092
398188 Agni (2010 LE15),0.462,19.40,0.137,2026-06-30 00:00:00,28612449.57630819
409836 (2006 QY110),0.554,18.11,0.331,2023-03-29 00:00:00,138474274.0045513
410778 (2009 FG19),1.457,18.13,0.048,2024-09-07 00:00:00,78220699.680075
411165 (2010 DF1),0.159,21.98,0.121,2024-09-02 00:00:00,33723146.526206024
414286 (2008 OC6),0.369,18.63,0.471,2023-08-31 00:00:00,67285170.2326242
414287 (2008 OB9),1.974,17.70,0.038,2026-05-23 00:00:00,245843497.14734927
416801 (2005 GC120),0.906,19.59,0.031,2027-11-20 00:00:00,37352151.98634359
417634 (2006 XG1),0.418,18.50,0.154,2030-01-01 00:00:00,191785980.648231
418094 (2007 WV4),0.890,19.60,0.042,2026-06-20 00:00:00,56023678.70905186
419472 (2010 DW1),0.459,20.00,0.088,2029-02-11 00:00:00,37907912.87969465
419624 (2010 SO16),0.357,20.51,0.084,2023-06-02 00:00:00,61530498.58405467
419880 (2011 AH37),0.982,19.70,0.026,2023-02-15 00:00:00,71747027.40164955
422686 (2000 AC6),0.176,21.49,0.143,2026-01-02 00:00:00,16806089.546459477
422699 (2000 PD3),0.619,18.16,0.220,2029-03-09 00:00:00,167398277.0891512
423321 (2005 ED318),0.202,20.80,0.212,2025-08-10 00:00:00,100220743.09413013
433953 (1997 XR2),0.259,20.70,0.115,2025-06-15 00:00:00,15938149.804417253
434096 (2002 GO5),0.528,18.10,0.431,2023-01-18 00:00:00,80471572.49093309
434633 (2005 WB1),0.310,20.90,0.039,2025-05-26 00:00:00,8727907.986990672
436329 (2010 GX62),0.622,20.10,0.012,2025-06-27 00:00:00,180484300.43315068
436671 (2011 SV71),2.159,17.90,0.024,2028-04-10 00:00:00,127365007.23655842
441987 (2010 NY65),0.228,21.39,0.071,2023-06-28 00:00:00,13530946.844786247
442037 (2010 PR66),0.695,19.21,0.063,2025-07-30 00:00:00,26869946.17925876
443806 (1998 FL3),0.288,22.00,0.034,2029-03-03 00:00:00,91146678.61446027
443880 (2001 UZ16),0.228,19.40,0.593,2029-09-20 00:00:00,24800335.247392785
444193 (2005 SE71),0.437,18.14,0.503,2027-11-09 00:00:00,28427771.322736274
445305 (2010 DM56),0.762,19.76,0.025,2027-09-16 00:00:00,8884479.84456945
451124 (2009 KC3),2.188,18.00,0.023,2026-11-25 00:00:00,187344839.92208838
453707 (2010 XY72),0.495,18.80,0.261,2027-10-30 00:00:00,7221566.377146591
454094 (2013 BZ45),0.167,21.90,0.110,2023-09-10 00:00:00,84325965.54805829
454100 (2013 BO73),0.548,20.18,0.054,2024-12-07 00:00:00,110385302.39139651
455299 (2002 EL6),0.537,18.00,0.386,2023-04-18 00:00:00,74993064.89130624
458436 (2011 AL52),1.102,17.40,0.159,2029-12-03 00:00:00,20704149.914562352
459683 (2013 MY5),0.269,19.70,0.322,2028-08-03 00:00:00,42674362.14362008
462238 (2008 CN1),0.227,20.60,0.197,2029-03-17 00:00:00,8798009.708348487
468468 (2004 KH17),0.197,21.90,0.072,2025-05-27 00:00:00,24039449.07481023
468727 (2010 JE87),0.308,20.80,0.108,2027-01-30 00:00:00,14628819.4175705
469445 (2002 LT24),0.143,22.05,0.136,2024-06-28 00:00:00,8305457.991780552
471241 (2011 BX18),1.451,18.24,0.044,2026-02-16 00:00:00,121701642.99619544
477519 (2010 DJ56),0.321,19.23,0.327,2027-08-25 00:00:00,66464845.10430815
480936 (2003 QH5),0.537,20.23,0.056,2027-08-12 00:00:00,50599679.13409247
483508 (2003 CR1),0.202,20.10,0.433,2024-01-20 00:00:00,12757867.636966364
484402 (2007 XH16),0.452,19.68,0.125,2029-12-21 00:00:00,11249926.173635077
488789 (2004 XK50),1.039,19.30,0.038,2025-12-25 00:00:00,7960022.462000897
490581 (2009 WZ104),0.237,19.96,0.314,2028-12-14 00:00:00,4781371.581288607
496816 (1989 UP),0.3,20.50,,2023-01-24 00:00:00,48698609.46459615
496817 (1989 VB),0.4,19.90,,2023-01-01 00:00:00,84300871.04301876
499582 (2010 TH19),0.461,20.51,0.044,2026-12-02 00:00:00,13005117.204640104
503941 (2003 UV11),0.260,19.50,0.376,2024-11-02 00:00:00,14376531.0978753
504800 (2010 CO1),0.380,21.90,0.032,2023-09-29 00:00:00,71578747.82049187
505657 (2014 SR339),0.971,18.54,0.068,2023-08-31 00:00:00,49745244.94190852
506074 (2015 UM67),0.665,18.95,0.110,2027-03-19 00:00:00,7317164.279576354
510055 (2010 FH81),0.200,21.57,0.094,2029-05-28 00:00:00,23223387.600012764
511008 (2013 PX6),1.647,18.50,0.028,2026-05-14 00:00:00,284762217.42195874
511684 (2015 BN509),0.315,20.82,0.093,2023-02-04 00:00:00,45569123.26690986
523589 (2001 HA4),1.851,17.70,0.047,2023-04-03 00:00:00,41018693.776758276
523664 (2012 OD1),0.346,18.54,0.536,2024-07-28 00:00:00,5722248.318848231
523775 (2014 YB35),0.279,19.00,0.569,2028-01-14 00:00:00,126242857.32408772
523816 (2009 ST103),0.851,18.10,0.141,2023-05-03 00:00:00,150911064.69293034
529668 (2010 JL33),1.778,17.71,0.047,2024-01-13 00:00:00,109844527.40390153
529753 (2010 MF1),0.363,19.60,0.178,2026-05-07 00:00:00,160412938.11174002
533722 (2014 NE52),0.701,18.00,0.249,2025-12-03 00:00:00,15838835.060616756
538212 (2016 CA136),0.654,19.39,0.079,2027-06-02 00:00:00,25029704.400951408
