"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","albedo"
"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.96,31.44,0.187,1.97,1.12,26339,0,1078,10,13,16.35,1.0,0.51
"  1620 Geographos (1951 RA)",1.246,0.3354,13.34,337.18,276.95,0.828,1.66,1.39,25738,0,4789,3,4,15.30,2.56,0.290
"  1862 Apollo (1932 HA)",1.471,0.5600,6.35,35.57,286.04,0.647,2.29,1.78,33329,0,2282,8,9,16.12,1.5,0.25
"  1981 Midas (1973 EA)",1.776,0.6501,39.83,356.86,267.83,0.622,2.93,2.37,17760,0,1077,12,1,15.22,3.4,
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.49,43.60,0.442,3.31,2.57,30790,0,119,0,5,18.64,0.6,
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.36,61.53,0.904,1.68,1.47,16703,0,1387,1,0,16.00,1.649,0.245
"  2201 Oljato (1947 XC)",2.175,0.7130,2.52,74.99,98.23,0.624,3.72,3.21,32795,0,1120,0,5,15.25,1.80,0.4328
"  2340 Hathor (1976 UA)",0.8437,0.4499,5.86,211.31,40.08,0.464,1.22,0.775,15431,0,454,4,3,20.33,0.3,
"  3122 Florence (1981 ET3)",1.769,0.4233,22.15,336.06,27.86,1.020,2.52,2.35,15455,0,5047,6,0,14.04,4.9,0.231
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.26,265.22,322.17,0.140,2.40,1.43,13875,0,5090,8,0,14.34,6.25,0.1066
"  3361 Orpheus (1982 HR)",1.211,0.3231,2.66,188.69,302.36,0.819,1.60,1.33,14537,0,1151,,,19.27,0.3,0.357
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.43,55.05,0.526,1.45,0.984,7394,1,262,,,18.30,0.7,0.21
"  3671 Dionysus (1984 KD)",2.199,0.5413,13.53,82.08,204.29,1.009,3.39,3.26,13738,0,736,,,16.49,1.5,0.16
"  3757 Anagolay (1982 XB)",1.835,0.4458,3.87,74.95,17.21,1.017,2.65,2.49,13428,0,173,0,2,18.90,0.5,0.18
"  4015 Wilson-Harrington (1979 VA)",2.625,0.6317,2.80,266.78,95.44,0.967,4.28,4.25,26104,0,997,,,16.02,4,0.05
"  4034 Vishnu (1986 PA)",1.06,0.4440,11.17,157.91,296.72,0.589,1.53,1.09,12824,0,565,0,1,18.41,0.42,0.52
"  4179 Toutatis (1989 AC)",2.545,0.6243,0.45,125.22,277.97,0.956,4.13,4.06,32168,0,6592,35,28,15.24,5.4,0.405
"  4183 Cuno (1959 LM)",1.984,0.6352,6.68,294.67,236.61,0.724,3.24,2.79,22797,0,2659,1,0,14.13,3.651,0.097
"  4486 Mithra (1987 SB)",2.2,0.6626,3.04,82.24,168.90,0.742,3.66,3.26,12761,0,930,8,9,15.53,1.849,0.297
"  4660 Nereus (1982 DB)",1.486,0.3589,1.45,313.15,159.54,0.952,2.02,1.81,14771,0,2599,20,17,18.62,0.33,0.55
"  4769 Castalia (1989 PB)",1.063,0.4831,8.89,325.54,121.41,0.550,1.58,1.1,11663,0,336,8,7,17.48,1.4,0.092
"  5604 (1992 FE)",0.9286,0.4061,4.72,311.90,82.65,0.552,1.31,0.895,16041,0,940,6,0,17.27,0.55,0.48
"  6489 Golevka (1991 JX)",2.486,0.6125,2.27,209.49,68.66,0.963,4.01,3.92,8968,0,1017,20,20,19.20,0.53,0.151
"  7335 (1989 JA)",1.771,0.4841,15.19,61.30,232.31,0.913,2.63,2.36,12029,0,442,0,5,17.53,1.8,0.448
"  7341 (1991 VK)",1.843,0.5062,5.41,294.77,173.51,0.910,2.78,2.5,11144,0,2178,10,3,16.91,0.982,0.235
"  7482 (1994 PC1)",1.349,0.3297,33.48,117.88,47.48,0.904,1.79,1.57,17333,0,1153,2,2,16.58,1.052,0.277
"  7822 (1991 CS)",1.123,0.1646,37.12,156.85,249.47,0.938,1.31,1.19,11378,0,1692,0,4,17.33,1.602,0.075
"  8014 (1990 MF)",1.747,0.4562,1.87,209.85,114.74,0.950,2.54,2.31,11592,0,1254,9,12,18.95,0.7,
"  8566 (1996 EN)",1.506,0.4303,37.98,164.12,125.15,0.858,2.15,1.85,14224,0,1316,,,16.39,1.568,0.217
"  9856 (1991 EE)",2.243,0.6260,9.83,168.10,116.24,0.839,3.65,3.36,10964,0,814,3,1,16.96,1.0,0.3
" 10115 (1992 SK)",1.248,0.3248,15.32,8.90,233.67,0.843,1.65,1.39,24655,0,1578,10,7,17.08,0.938,0.318
" 11500 Tomaiyowit (1989 UR)",1.08,0.3559,10.31,234.41,289.49,0.696,1.46,1.12,10889,0,1201,0,1,18.32,0.738,0.142
" 12538 (1998 OH)",1.542,0.4060,24.53,220.71,321.76,0.916,2.17,1.91,11011,0,2649,0,1,15.92,1.663,0.232
" 12923 Zephyr (1999 GK4)",1.962,0.4923,5.31,168.19,147.09,0.996,2.93,2.75,24435,0,2463,,,15.77,2.060,0.199
" 13651 (1997 BR)",1.336,0.3055,17.25,116.66,133.81,0.927,1.74,1.54,14627,0,964,0,2,17.81,0.562,0.511
" 14827 Hypnos (1986 JK)",2.843,0.6659,1.98,57.94,238.17,0.950,4.74,4.79,12022,0,187,0,10,18.30,0.9,
" 25143 Itokawa (1998 SF36)",1.324,0.2801,1.62,69.08,162.80,0.953,1.70,1.52,8473,0,947,19,18,19.00,0.33,
" 29075 (1950 DA)",1.698,0.5080,12.17,356.65,224.67,0.836,2.56,2.21,26216,0,935,8,4,17.22,2.000,0.070
" 33342 (1998 WT24)",0.7188,0.4176,7.37,81.67,167.54,0.419,1.02,0.609,8489,0,1838,16,1,17.85,0.432,0.654
" 35107 (1991 VH)",1.137,0.1443,13.91,139.35,206.94,0.973,1.30,1.21,10717,0,3917,3,0,16.76,0.929,0.408
" 35396 (1997 XF11)",1.442,0.4839,4.10,213.67,103.03,0.744,2.14,1.73,11682,0,2018,5,1,16.91,0.704,0.772
" 39572 (1993 DQ1)",2.037,0.4922,10.02,313.55,344.84,1.035,3.04,2.91,10595,0,795,,,16.47,1.554,0.184
" 41429 (2000 GE2)",1.593,0.5553,2.17,351.93,297.23,0.708,2.48,2.01,8748,0,364,,,20.38,0.204,0.267
" 52760 (1998 ML14)",2.409,0.6236,2.43,338.72,20.29,0.907,3.91,3.74,8657,0,643,11,7,17.48,1.0,
" 52768 (1998 OR2)",2.382,0.5743,5.87,26.94,174.55,1.014,3.75,3.68,12569,0,5387,3,0,16.00,1.75,
" 53319 (1999 JM8)",2.724,0.6417,13.84,133.62,166.84,0.976,4.47,4.5,11332,0,1367,8,10,15.25,7.,
" 53789 (2000 ED104)",1.371,0.2692,40.79,190.02,218.32,1.002,1.74,1.6,24289,0,896,,,17.33,0.843,0.222
" 65679 (1989 UQ)",0.9148,0.2646,1.30,178.10,15.00,0.673,1.16,0.875,23014,0,726,,,19.46,0.918,0.033
" 65803 Didymos (1996 GT)",1.644,0.3838,3.41,73.20,319.32,1.013,2.28,2.11,9066,0,1046,5,0,18.07,0.78,
" 66391 Moshup (1999 KW4)",0.6424,0.6884,38.88,244.90,192.65,0.200,1.08,0.515,8486,0,3687,37,0,16.59,1.317,
" 68216 (2001 CV26)",1.32,0.3265,17.99,18.14,48.73,0.889,1.75,1.52,7712,0,2376,5,0,16.52,0.994,0.449
" 68346 (2001 KZ66)",1.507,0.4167,16.70,219.38,140.27,0.879,2.14,1.85,15109,0,929,1,1,16.80,0.736,0.291
" 68548 (2001 XR31)",1.707,0.4367,22.72,302.05,24.71,0.961,2.45,2.23,10188,0,688,,,16.61,1.182,0.289
" 68950 (2002 QF15)",1.057,0.3443,25.15,236.22,255.57,0.693,1.42,1.09,24191,0,2881,12,1,16.36,1.650,0.178
" 85182 (1991 AQ)",2.222,0.7767,3.12,339.60,243.00,0.496,3.95,3.31,11203,0,391,5,3,17.07,1.1,0.242
" 85713 (1998 SS49)",1.925,0.6388,10.77,41.05,103.00,0.695,3.16,2.67,8403,0,724,2,0,15.64,3.484,0.076
" 85774 (1998 UT18)",1.403,0.3289,13.59,64.63,50.17,0.942,1.86,1.66,11787,0,763,4,4,19.07,0.939,0.042
" 85989 (1999 JD6)",0.8831,0.6328,17.06,130.17,309.24,0.324,1.44,0.83,10979,0,2964,11,4,17.06,1.462,0.056
" 85990 (1999 JV6)",1.008,0.3112,5.36,124.31,235.54,0.695,1.32,1.01,8320,0,1157,15,0,20.16,0.451,0.095
" 86039 (1999 NC43)",1.76,0.5787,7.13,311.65,120.77,0.741,2.78,2.33,8034,0,1506,,,15.96,2.22,0.14
" 86819 (2000 GK137)",1.996,0.5058,10.06,164.89,150.31,0.987,3.01,2.82,10198,0,814,,,17.37,0.802,0.301
" 88254 (2001 FM129)",1.182,0.6295,1.52,272.14,140.19,0.438,1.93,1.29,15752,0,783,1,1,17.71,0.800,0.252
" 89830 (2002 CE)",2.077,0.5072,43.66,19.90,5.80,1.024,3.13,2.99,14232,0,1345,,,14.98,5.067,0.079
" 89959 (2002 NT7)",1.735,0.5283,42.35,132.02,300.70,0.819,2.65,2.29,24472,0,1043,,,16.44,1.407,0.224
" 90075 (2002 VU94)",2.134,0.5760,8.91,226.76,30.67,0.905,3.36,3.12,24202,0,2924,1,0,15.37,2.233,0.294
" 90403 (2003 YE45)",1.234,0.2800,19.01,286.25,306.79,0.889,1.58,1.37,11694,0,1694,2,2,17.74,0.572,0.493
" 90416 (2003 YK118)",1.695,0.4919,7.84,326.88,233.05,0.861,2.53,2.21,9897,0,894,2,0,18.60,0.968,0.062
" 99248 (2001 KY66)",1.866,0.5077,10.61,284.14,61.53,0.919,2.81,2.55,10902,0,1506,,,16.53,1.115,0.429
" 99942 Apophis (2004 MN4)",0.9227,0.1914,3.34,203.96,126.60,0.746,1.10,0.886,6267,0,7300,20,30,19.09,0.34,0.35
"101955 Bennu (1999 RQ36)",1.126,0.2037,6.03,2.06,66.22,0.897,1.36,1.2,7693,0,554,58,7,20.21,0.482,0.044
"103067 (1999 XA143)",1.843,0.5815,38.55,116.63,104.00,0.771,2.92,2.5,9831,0,933,,,16.80,1.282,0.246
"111253 (2001 XU10)",1.754,0.4397,42.03,310.16,6.96,0.983,2.52,2.32,7740,0,1139,,,15.20,3.006,0.178
"138127 (2000 EE14)",0.6618,0.5332,26.46,155.76,197.84,0.309,1.01,0.538,8045,0,619,,,17.03,0.754,0.449
"140158 (2001 SX169)",1.347,0.4610,2.52,126.80,42.69,0.726,1.97,1.56,7266,0,813,,,18.45,0.566,0.289
"140288 (2001 SN289)",1.784,0.5077,53.23,357.09,225.59,0.878,2.69,2.38,8883,0,387,,,16.72,1.263,0.231
"141432 (2002 CQ11)",0.9762,0.4276,2.47,81.34,272.64,0.559,1.39,0.965,3746,0,472,3,1,20.00,0.239,0.340
"143624 (2003 HM16)",1.967,0.5761,35.59,195.94,47.03,0.834,3.10,2.76,6865,0,946,,,15.89,2.137,0.169
"152671 (1998 HL3)",1.129,0.3660,2.68,163.67,188.14,0.716,1.54,1.2,8711,0,333,,,20.10,0.298,0.200
"152754 (1999 GS6)",1.191,0.4973,2.02,314.44,134.95,0.599,1.78,1.3,7768,0,396,,,19.22,0.414,0.216
"152978 (2000 GJ147)",1.162,0.2367,25.01,57.86,240.81,0.887,1.44,1.25,7583,0,676,,,19.54,0.531,0.109
"153201 (2000 WO107)",0.9112,0.7807,7.77,69.23,213.72,0.200,1.62,0.87,7732,0,982,4,4,19.27,0.510,0.129
"153591 (2001 SN263)",1.986,0.4798,6.70,325.75,173.05,1.033,2.94,2.8,11497,0,2799,1,0,16.97,2,
"153814 (2001 WN5)",1.712,0.4672,1.92,277.42,44.60,0.912,2.51,2.24,9224,0,973,4,0,18.32,0.932,0.097
"154276 (2002 SY50)",1.705,0.6891,8.74,34.11,99.62,0.530,2.88,2.23,6924,0,650,5,2,17.56,1.060,0.143
"159857 (2004 LJ1)",2.263,0.5937,23.14,235.57,139.95,0.919,3.61,3.4,9899,0,2955,,,15.51,3.070,0.130
"161989 Cacus (1978 CA)",1.123,0.2139,26.06,161.23,102.18,0.883,1.36,1.19,16099,0,1187,,,17.15,1.9,0.09
"162000 (1990 OS)",1.679,0.4625,1.09,346.53,21.54,0.902,2.45,2.17,9679,0,416,5,4,19.40,0.4,
"162116 (1998 SA15)",1.916,0.5584,7.11,114.20,331.43,0.846,2.99,2.65,7616,0,76,,,19.20,0.538,0.116
"162510 (2000 QW69)",1.376,0.3023,38.15,344.34,220.70,0.960,1.79,1.61,7777,0,669,,,17.51,1.406,0.089
"162567 (2000 RW37)",1.248,0.2501,13.75,333.30,133.32,0.936,1.56,1.39,7804,0,227,,,19.76,0.335,0.173
"162998 (2001 SK162)",1.925,0.4748,1.68,285.38,186.39,1.011,2.84,2.67,10126,0,1187,,,17.89,0.875,0.161
"163132 (2002 CU11)",1.22,0.2952,48.78,157.75,110.53,0.860,1.58,1.35,7280,0,509,6,8,18.42,0.460,0.408
"163243 (2002 FB3)",0.7616,0.6017,20.28,203.58,148.32,0.303,1.22,0.665,7302,0,936,,,16.52,1.682,0.172
"163348 (2002 NN4)",0.8758,0.4346,5.42,259.45,222.20,0.495,1.26,0.82,6996,0,688,,,20.08,0.735,0.030
"163818 (2003 RX7)",1.229,0.3545,10.39,241.03,245.88,0.793,1.66,1.36,6587,0,672,,,18.47,0.386,0.516
"163899 (2003 SD220)",0.8274,0.2098,8.55,273.79,326.90,0.654,1.00,0.753,8028,0,1445,12,7,17.59,0.791,0.340
"164121 (2003 YT1)",1.11,0.2920,44.06,38.32,91.05,0.786,1.43,1.17,13367,0,1104,7,1,16.21,1.717,0.198
"164207 (2004 GU9)",1.001,0.1360,13.65,38.49,279.69,0.865,1.14,1,7582,0,267,,,21.16,0.163,0.219
"168318 (1989 DA)",2.162,0.5431,6.50,349.12,139.82,0.988,3.34,3.18,6990,0,58,,,18.90,0.9,
"175706 (1996 FG3)",1.054,0.3497,1.99,299.68,24.08,0.685,1.42,1.08,13176,0,1697,6,1,18.32,1.196,0.072
"185851 (2000 DP107)",1.365,0.3766,8.67,358.68,289.78,0.851,1.88,1.6,8032,0,1409,21,2,18.21,0.863,0.137
"187040 (2005 JS108)",1.356,0.3225,6.04,110.86,243.89,0.919,1.79,1.58,7033,0,493,,,19.15,0.430,0.199
"194268 (2001 UY4)",1.453,0.7873,5.44,160.74,107.77,0.309,2.60,1.75,6639,0,452,,,18.20,1.244,0.055
"206378 (2003 RB)",1.788,0.4391,6.72,317.15,44.03,1.003,2.57,2.39,6939,0,1392,5,3,18.69,0.376,0.414
"207945 (1991 JW)",1.039,0.1187,8.71,53.86,301.94,0.916,1.16,1.06,20491,0,337,,,19.30,0.423,0.161
"215588 (2003 HF2)",1.114,0.6754,3.06,189.88,231.03,0.362,1.87,1.18,6995,0,379,11,0,19.38,0.488,0.118
"217628 Lugh (1990 HA)",2.533,0.7116,4.43,177.82,316.04,0.730,4.34,4.03,21436,0,127,,,16.62,1.4,
"221980 (1996 EO)",1.341,0.4006,21.59,356.48,64.69,0.804,1.88,1.55,8942,0,127,,,19.00,0.432,0.200
"226554 (2003 WR21)",1.119,0.2614,9.27,85.83,107.97,0.826,1.41,1.18,9829,0,281,1,1,19.50,0.482,0.125
"230549 (2003 BH)",1.457,0.3560,13.11,119.77,313.38,0.938,1.97,1.76,5954,0,161,,,20.50,0.217,0.216
"231937 (2001 FO32)",1.699,0.8260,39.00,181.72,123.37,0.296,3.10,2.21,7304,0,245,0,2,17.58,0.55,
"234145 (2000 EW70)",0.9376,0.3213,5.43,178.04,125.78,0.636,1.24,0.908,6939,0,405,4,6,21.39,0.344,0.045
"235756 (2004 VC)",1.133,0.2588,39.15,194.16,94.18,0.840,1.43,1.21,10600,0,350,1,0,18.65,1.136,0.042
