"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","albedo"
"242450 (2004 QY2)",1.084,0.4771,37.03,295.29,104.97,0.567,1.60,1.13,6405,0,643,1,0,14.83,2.914,0.274
"242643 (2005 NZ6)",1.833,0.8650,8.42,38.81,48.96,0.247,3.42,2.48,5494,0,622,6,3,17.38,1.989,0.041
"243566 (1995 SA)",2.459,0.6408,19.94,170.32,52.82,0.883,4.03,3.86,10899,0,526,,,17.35,0.881,0.091
"244977 (2004 BE68)",1.76,0.4445,15.74,210.89,191.24,0.978,2.54,2.34,6316,0,336,,,18.41,0.495,0.235
"250620 (2005 GE59)",2.108,0.6024,16.08,194.76,243.02,0.838,3.38,3.06,5603,0,634,,,18.03,0.654,0.260
"250680 (2005 QC5)",0.8931,0.3646,9.45,48.07,108.71,0.567,1.22,0.844,15690,0,116,,,19.63,0.398,0.147
"250706 (2005 RR6)",2.959,0.7002,6.93,27.30,59.94,0.887,5.03,5.09,5639,0,399,,,18.49,0.535,0.322
"252399 (2001 TX44)",0.8748,0.5460,15.21,57.78,136.01,0.397,1.35,0.818,6950,0,285,,,19.43,0.291,0.478
"263976 (2009 KD5)",1.046,0.2614,13.47,104.50,294.33,0.773,1.32,1.07,22984,0,758,,,18.40,0.785,0.125
"264357 (2000 AZ93)",0.7469,0.3599,8.59,277.36,8.15,0.478,1.02,0.646,8000,0,155,4,1,21.07,0.113,0.037
"265196 (2004 BW58)",1.455,0.3785,15.21,132.63,301.84,0.904,2.01,1.75,5975,0,387,,,18.77,0.361,0.310
"267221 (2001 AD2)",1.04,0.6600,1.64,210.56,111.93,0.354,1.73,1.06,6976,0,436,,,19.73,0.562,0.097
"267337 (2001 VK5)",1.269,0.5141,19.43,54.23,263.93,0.617,1.92,1.43,7354,0,749,0,1,18.03,0.439,0.578
"269690 (1996 RG3)",2.002,0.6033,3.58,158.06,300.24,0.794,3.21,2.83,7554,0,240,,,18.40,0.888,0.098
"277570 (2005 YP180)",1.372,0.6171,4.11,288.95,92.39,0.525,2.22,1.61,5899,0,233,,,19.20,0.439,0.177
"294739 (2008 CM)",1.566,0.4079,36.01,279.56,130.66,0.927,2.20,1.96,5055,0,1555,7,1,17.09,0.740,0.425
"297274 (1996 SK)",2.443,0.7912,1.97,195.70,286.21,0.510,4.38,3.82,8361,0,464,,,16.80,1.199,0.234
"297300 (1998 SC15)",1.273,0.4145,16.08,198.69,277.51,0.745,1.80,1.44,8444,0,546,1,2,19.34,0.320,
"297418 (2000 SP43)",0.8115,0.4668,10.35,350.56,224.43,0.433,1.19,0.731,7331,0,877,0,1,18.60,0.407,0.388
"301844 (1990 UA)",1.642,0.5262,0.93,104.27,202.60,0.778,2.51,2.1,7703,0,185,,,19.60,0.4,
"303450 (2005 BY2)",1.269,0.3307,7.29,74.46,130.22,0.849,1.69,1.43,6201,0,187,,,20.44,0.187,0.317
"304330 (2006 SX217)",1.412,0.3102,21.04,32.61,176.18,0.974,1.85,1.68,7344,0,300,13,3,18.95,0.780,0.080
"307493 (2002 XP90)",2.08,0.5859,23.11,78.57,324.15,0.861,3.30,3,6695,0,300,,,18.57,1.666,0.023
"308635 (2005 YU55)",1.157,0.4305,0.34,35.93,273.57,0.659,1.66,1.24,5857,0,4010,9,10,21.65,0.4,
"310560 (2001 QL142)",1.049,0.4990,26.61,165.58,72.12,0.526,1.57,1.08,15682,0,213,0,1,17.70,0.654,0.313
"312070 (2007 TA19)",0.9539,0.5095,22.63,181.19,58.04,0.468,1.44,0.932,5138,0,132,,,19.44,0.595,0.087
"333578 (2006 KM103)",1.573,0.3767,11.68,169.46,197.00,0.981,2.17,1.97,7582,0,331,4,3,20.13,0.204,0.352
"341843 (2008 EV5)",0.9582,0.0835,7.44,93.37,235.01,0.878,1.04,0.938,768,1,1005,4,0,20.00,0.40,0.137
"349068 (2006 YT13)",1.323,0.4258,38.24,116.72,105.46,0.760,1.89,1.52,5557,0,362,,,18.30,0.496,0.343
"357022 (1999 YG3)",1.285,0.3296,34.52,293.27,250.21,0.861,1.71,1.46,7999,0,315,,,19.05,0.432,0.217
"357024 (1999 YR14)",1.651,0.4001,3.73,2.99,9.67,0.991,2.31,2.12,7480,0,1275,7,0,19.45,0.255,0.430
"360191 (1988 TA)",1.54,0.4786,2.53,194.66,105.28,0.803,2.28,1.91,8984,0,300,5,4,20.60,0.4,
"363024 (1998 OK1)",1.356,0.4293,13.99,109.66,298.61,0.774,1.94,1.58,8323,0,259,3,0,19.42,0.558,0.099
"363027 (1998 ST27)",0.8194,0.5300,21.06,197.53,322.48,0.385,1.25,0.742,8421,0,573,6,1,19.64,0.578,0.059
"363505 (2003 UC20)",0.7811,0.3369,3.80,188.36,59.75,0.518,1.04,0.69,24479,0,597,1,4,18.33,1.876,0.029
"363599 (2004 FG11)",1.587,0.7238,3.13,83.75,228.51,0.438,2.74,2,6558,0,347,4,4,21.03,0.152,0.306
"363831 (2005 PY16)",1.975,0.5254,6.42,159.32,193.50,0.937,3.01,2.78,5299,0,236,,,19.22,0.371,0.268
"365071 (2009 AV)",1.03,0.0739,45.87,150.74,322.11,0.954,1.11,1.04,2079,0,955,1,0,18.10,0.674,0.246
"365424 (2010 KX7)",0.9894,0.1709,21.49,46.47,61.92,0.820,1.16,0.984,1102,1,83,1,1,21.90,0.212,0.075
"366774 (2004 TB18)",1.815,0.4508,13.20,120.99,13.22,0.997,2.63,2.44,6255,0,581,,,17.64,0.859,0.199
"367248 (2007 MK13)",1.025,0.1398,19.88,95.09,259.95,0.881,1.17,1.04,2183,1,299,,,20.00,0.386,0.119
"369264 (2009 MS)",2.005,0.5696,52.36,252.05,219.54,0.863,3.15,2.84,4023,0,286,3,2,16.37,1.515,0.232
"371660 (2007 CN26)",1.293,0.2691,7.58,159.29,135.68,0.945,1.64,1.47,4709,0,278,7,5,21.00,0.230,0.160
"373135 (2011 SD173)",1.653,0.4973,4.39,203.13,59.49,0.831,2.47,2.12,6998,0,206,,,19.50,1.050,0.025
"377732 (2005 XJ8)",1.93,0.6215,23.58,115.95,67.31,0.731,3.13,2.68,5946,0,559,,,17.04,0.986,0.288
"381906 (2010 CL19)",1.543,0.6457,7.31,243.81,76.80,0.547,2.54,1.92,7680,0,807,2,0,17.84,0.520,0.451
"385186 (1994 AW1)",1.105,0.0758,24.10,290.36,37.02,1.022,1.19,1.16,12815,0,1765,3,0,17.56,0.811,0.223
"385343 (2002 LV)",2.315,0.6052,29.54,132.17,224.19,0.914,3.72,3.52,7214,0,1491,,,16.58,1.359,0.334
"386454 (2008 XM)",1.222,0.9091,5.44,240.60,27.40,0.111,2.33,1.35,1884,0,89,,,20.00,0.367,0.128
"386847 (2010 LR33)",1.692,0.4625,5.83,352.09,333.21,0.909,2.47,2.2,7595,0,338,,,18.09,0.663,0.211
"387505 (1998 KN3)",1.542,0.8734,2.29,313.36,71.11,0.195,2.89,1.92,8419,0,333,,,18.43,1.060,0.074
"387746 (2003 MH4)",1.964,0.5136,3.88,259.82,323.01,0.955,2.97,2.75,4236,0,282,,,20.00,0.366,0.132
"389694 (2011 QD48)",1.545,0.4921,19.07,358.80,106.80,0.785,2.31,1.92,2940,0,728,,,18.10,0.451,0.456
"390725 (2003 HB)",0.8497,0.3805,18.11,70.37,306.75,0.526,1.17,0.783,6600,0,275,,,19.69,0.293,0.271
"391211 (2006 HZ51)",1.897,0.4499,12.41,84.28,193.39,1.044,2.75,2.61,6378,0,157,,,18.53,0.412,0.415
"395207 (2010 HQ80)",1.568,0.4893,27.85,218.47,66.32,0.801,2.34,1.96,3882,0,258,,,19.66,0.724,0.022
"398188 Agni (2010 LE15)",0.8643,0.2734,13.25,134.22,328.64,0.628,1.10,0.804,6249,0,398,7,6,19.40,0.462,0.137
"409836 (2006 QY110)",1.924,0.5740,6.40,222.64,221.61,0.820,3.03,2.67,5010,0,163,,,18.11,0.554,0.331
"410778 (2009 FG19)",2.911,0.7197,54.51,187.52,120.41,0.816,5.01,4.97,3845,0,256,4,1,18.13,1.457,0.048
"411165 (2010 DF1)",1.598,0.5026,20.09,154.87,101.78,0.795,2.40,2.02,3846,0,119,,,21.98,0.159,0.121
"414286 (2008 OC6)",0.923,0.1992,21.85,177.60,295.87,0.739,1.11,0.887,4779,0,224,,,18.63,0.369,0.471
"414287 (2008 OB9)",3.205,0.7588,13.50,202.71,238.55,0.773,5.64,5.74,4671,0,327,,,17.70,1.974,0.038
"416801 (2005 GC120)",1.194,0.4976,16.53,67.94,258.29,0.600,1.79,1.3,6181,0,278,0,1,19.59,0.906,0.031
"417634 (2006 XG1)",2.457,0.5960,20.50,38.47,344.09,0.992,3.92,3.85,2956,0,165,,,18.50,0.418,0.154
"418094 (2007 WV4)",1.486,0.4411,38.33,249.88,297.64,0.831,2.14,1.81,4024,0,359,7,3,19.60,0.890,0.042
"419472 (2010 DW1)",1.225,0.2003,23.77,157.12,9.65,0.980,1.47,1.36,6957,0,293,,,20.00,0.459,0.088
"419624 (2010 SO16)",1.004,0.0754,14.52,40.36,109.18,0.928,1.08,1.01,1928,0,227,,,20.51,0.357,0.084
"419880 (2011 AH37)",2.546,0.6720,9.66,102.07,322.36,0.835,4.26,4.06,2981,0,173,,,19.70,0.982,0.026
"422686 (2000 AC6)",0.8537,0.2864,4.70,101.37,188.08,0.609,1.10,0.789,8040,0,305,,,21.49,0.176,0.143
"422699 (2000 PD3)",1.998,0.5919,7.70,298.67,110.17,0.815,3.18,2.82,7560,0,514,,,18.16,0.619,0.220
"423321 (2005 ED318)",1.85,0.4494,2.39,82.06,164.20,1.019,2.68,2.52,5435,0,601,1,1,20.80,0.202,0.212
"433953 (1997 XR2)",1.076,0.2008,7.19,250.67,84.64,0.860,1.29,1.12,7014,0,421,6,2,20.70,0.259,0.115
"434096 (2002 GO5)",1.895,0.7677,13.77,22.63,65.34,0.440,3.35,2.61,5608,0,242,,,18.10,0.528,0.431
"434633 (2005 WB1)",1.264,0.3554,22.88,61.42,265.72,0.815,1.71,1.42,3625,0,112,,,20.90,0.310,0.039
"436329 (2010 GX62)",2.961,0.7030,21.73,207.29,316.81,0.880,5.04,5.1,1983,0,179,,,20.10,0.622,0.012
"436671 (2011 SV71)",2.626,0.6107,13.42,80.62,190.51,1.022,4.23,4.26,6195,0,197,,,17.90,2.159,0.024
"441987 (2010 NY65)",1.003,0.3704,11.55,267.96,251.91,0.631,1.37,1,4021,0,907,14,3,21.39,0.228,0.071
"442037 (2010 PR66)",2.928,0.6868,17.59,292.75,319.52,0.917,4.94,5.01,3691,0,603,4,0,19.21,0.695,0.063
"443806 (1998 FL3)",1.26,0.2477,26.39,180.11,121.33,0.948,1.57,1.41,8751,0,49,,,22.00,0.288,0.034
"443880 (2001 UZ16)",1.759,0.4264,12.68,323.14,28.59,1.009,2.51,2.33,5210,0,267,2,1,19.40,0.228,0.593
"444193 (2005 SE71)",1.069,0.1944,24.83,39.11,78.30,0.862,1.28,1.11,5379,0,464,1,1,18.14,0.437,0.503
"445305 (2010 DM56)",1.306,0.2925,25.60,349.62,48.16,0.924,1.69,1.49,4395,0,238,,,19.76,0.762,0.025
"451124 (2009 KC3)",3.206,0.6994,10.02,340.08,337.30,0.964,5.45,5.74,2394,1,456,11,8,18.00,2.188,0.023
"453707 (2010 XY72)",1.133,0.2288,31.48,34.43,307.01,0.874,1.39,1.21,3985,0,427,,,18.80,0.495,0.261
"454094 (2013 BZ45)",1.015,0.1447,11.85,131.07,98.70,0.868,1.16,1.02,2386,0,174,5,1,21.90,0.167,0.110
"454100 (2013 BO73)",1.331,0.4184,4.54,24.78,298.15,0.774,1.89,1.54,3237,0,273,,,20.18,0.548,0.054
"455299 (2002 EL6)",2.302,0.5768,9.51,84.94,186.56,0.974,3.63,3.49,5345,0,479,,,18.00,0.537,0.386
"458436 (2011 AL52)",2.804,0.6355,13.43,272.70,171.74,1.022,4.59,4.7,1925,0,145,,,17.40,1.102,0.159
"459683 (2013 MY5)",1.662,0.4532,3.00,102.89,279.00,0.909,2.41,2.14,955,0,180,,,19.70,0.269,0.322
"462238 (2008 CN1)",0.7707,0.3477,7.22,331.46,7.25,0.503,1.04,0.677,2945,1,546,,,20.60,0.227,0.197
"468468 (2004 KH17)",0.7121,0.4983,22.12,79.14,340.70,0.357,1.07,0.601,5473,0,213,1,0,21.90,0.197,0.072
"468727 (2010 JE87)",0.9042,0.4371,16.91,120.49,242.30,0.509,1.30,0.86,4326,0,178,0,2,20.80,0.308,0.108
"469445 (2002 LT24)",0.72,0.4958,0.76,166.11,282.68,0.363,1.08,0.611,6942,0,200,,,22.05,0.143,0.136
"471241 (2011 BX18)",2.876,0.7294,14.55,310.89,303.95,0.778,4.97,4.88,3932,0,488,1,0,18.24,1.451,0.044
"477519 (2010 DJ56)",1.25,0.2453,34.85,149.93,309.28,0.943,1.56,1.4,6379,0,185,,,19.23,0.321,0.327
"480936 (2003 QH5)",1.26,0.2201,17.62,299.23,321.16,0.982,1.54,1.41,6199,0,257,1,0,20.23,0.537,0.056
"483508 (2003 CR1)",1.453,0.4629,12.72,310.96,101.95,0.781,2.13,1.75,5143,0,179,,,20.10,0.202,0.433
"484402 (2007 XH16)",1.187,0.2349,27.43,91.28,58.33,0.908,1.47,1.29,4929,0,449,1,1,19.68,0.452,0.125
"488789 (2004 XK50)",1.451,0.6888,38.21,94.12,103.96,0.452,2.45,1.75,5120,0,107,,,19.30,1.039,0.038
"490581 (2009 WZ104)",0.8554,0.1927,9.83,263.26,10.55,0.691,1.02,0.791,4417,1,1177,0,1,19.96,0.237,0.314
"496816 (1989 UP)",1.861,0.4721,3.86,53.17,17.81,0.982,2.74,2.54,10387,0,344,0,1,20.50,0.3,
"496817 (1989 VB)",1.861,0.4603,2.19,37.84,330.89,1.005,2.72,2.54,10280,0,291,4,2,19.90,0.4,
"499582 (2010 TH19)",1.464,0.3101,6.82,254.22,201.50,1.010,1.92,1.77,3508,0,180,,,20.51,0.461,0.044
"503941 (2003 UV11)",1.454,0.7631,5.93,31.84,124.87,0.344,2.56,1.75,7689,0,884,8,6,19.50,0.260,0.376
"504800 (2010 CO1)",1.013,0.2178,24.02,351.57,252.68,0.792,1.23,1.02,3568,1,131,,,21.90,0.380,0.032
"505657 (2014 SR339)",1.3,0.3038,29.80,138.76,299.62,0.905,1.69,1.48,2445,0,779,5,1,18.54,0.971,0.068
"506074 (2015 UM67)",1.558,0.6871,6.01,150.07,132.24,0.487,2.63,1.94,2228,0,390,,,18.95,0.665,0.110
"510055 (2010 FH81)",1.226,0.2104,16.79,84.62,158.26,0.968,1.48,1.36,4265,0,90,,,21.57,0.200,0.094
"511008 (2013 PX6)",2.597,0.6512,13.66,187.40,229.65,0.906,4.29,4.18,2998,0,442,,,18.50,1.647,0.028
"511684 (2015 BN509)",1.007,0.5683,4.15,120.11,143.19,0.435,1.58,1.01,5924,0,560,5,2,20.82,0.315,0.093
"523589 (2001 HA4)",2.688,0.7934,17.18,354.06,95.64,0.555,4.82,4.41,6306,0,125,,,17.70,1.851,0.047
"523664 (2012 OD1)",0.8287,0.5027,42.27,303.74,224.36,0.412,1.25,0.754,3340,0,744,,,18.54,0.346,0.536
"523775 (2014 YB35)",1.876,0.4840,12.65,3.73,188.63,0.968,2.78,2.57,1965,0,735,1,2,19.00,0.279,0.569
"523816 (2009 ST103)",2.699,0.7186,15.74,226.53,234.63,0.759,4.64,4.43,6790,0,140,,,18.10,0.851,0.141
"529668 (2010 JL33)",2.68,0.7350,5.38,52.46,309.85,0.710,4.65,4.39,8309,0,699,3,1,17.71,1.778,0.047
"529753 (2010 MF1)",2.499,0.5885,9.10,286.95,27.87,1.028,3.97,3.95,3100,0,636,,,19.60,0.363,0.178
"533722 (2014 NE52)",2.385,0.6586,3.86,54.53,337.56,0.814,3.96,3.68,1794,1,313,,,18.00,0.701,0.249
"538212 (2016 CA136)",2.031,0.7813,1.26,239.86,124.88,0.444,3.62,2.9,2506,0,253,,,19.39,0.654,0.079
